,"DAC5578, DAC6578, DAC7578",UNIT
AV DD to GND,-0.3 to +6,V
Digital input voltage to GND,-0.3 to +AV DD + 0.3,V
V OUT to GND,-0.3 to +AV DD + 0.3,V
V REFIN to GND,-0.3 to +AV DD + 0.3,V
Operating temperature range,-40 to +125,°C
Storage temperature range,-65 to +150,°C
Junction temperature range (T J max),+150,°C
Power dissipation,(T J max - T A )/ θ JA,W
