METRIC.,THERMAL.THERMAL,DACx578.PW (16 Pins),DACx578.RGE (24 PINS),UNITS.UNITS
θ JA,Junction-to-ambient thermal resistance,111.9,33.7,°C/W
θ JCtop,Junction-to-case (top) thermal resistance,33.3,16.9,°C/W
θ JB,Junction-to-board thermal resistance,52.4,7.4,°C/W
ψ JT,Junction-to-top characterization parameter,2,0.5,°C/W
ψ JB,Junction-to-board characterization parameter,51.2,7.1,°C/W
θ JCbot,Junction-to-case (bottom) thermal resistance,n/a,1.7,°C/W
