PRODUCT,MAXIMUM RELATIVE ACCURACY (LSB),MAXIMUM DIFFERENTIAL NONLINEARITY (LSB),PACKAGE- LEAD,PACKAGE DESIGNATOR,SPECIFIED TEMPERATURE RANGE,PACKAGE MARKING
DAC7578,±1,±0.25,TSSOP-16,PW,-40°C to +125°C,DAC7578
DAC7578,±1,±0.25,QFN-24,RGE,-40°C to +125°C,DAC7578
DAC6578,±0.5,±0.5,TSSOP-16,PW,-40°C to +125°C,DAC6578
DAC6578,±0.5,±0.5,QFN-24,RGE,-40°C to +125°C,DAC6578
DAC5578,±0.25,±0.25,TSSOP-16,PW,-40°C to +125°C,DAC5578
DAC5578,±0.25,±0.25,QFN-24,RGE,-40°C to +125°C,DAC5578
